RPM,deltaT
0.0,0.0
87.9315,682349
2638.99,22736
218.717,274327
5220.11,11494
318.385,188451
350.787,171044
384.818,155918
408.937,146722
427.183,140455
441.735,135828
453.878,132194
463.138,129551
470.795,127444
476.913,125809
481.738,124549
486.579,123310
489.205,122648
492.473,121834
494.874,121243
496.516,120842
5020.92,11950
552.73,108552
499.085,120220
500.05,119988
501.102,119736
501.748,119582
502.273,119457
502.799,119332
502.959,119294
503.031,119277
503.098,119261
503.313,119210
503.635,119134
503.816,119091
503.605,119141
503.774,119101
503.542,119156
503.893,119073
504.053,119035
503.706,119117
503.766,119103
503.732,119111
503.711,119116
504.053,119035
502.845,119321
504.041,119038
503.335,119205
486.863,123238
521.191,115121
503.499,119166
503.504,119165
503.195,119238
6038.04,9937
549.556,109179
503.347,119202
503.542,119156
503.491,119168
503.263,119222
500.425,119898
500.121,119971
509.23,117825
502.913,119305
502.584,119383
503.035,119276
502.492,119405
501.517,119637
503.17,119244
502.197,119475
502.285,119454
502.285,119454
502.942,119298
503.035,119276
481.85,124520
525.638,114147
502.803,119331
502.513,119400
502.967,119292
502.635,119371
502.593,119381
502.105,119497
502.908,119306
502.092,119500
502.769,119339
502.109,119496
502.934,119300
502.542,119393
502.407,119425
502.74,119346
502.984,119288
499.455,120131
506.445,118473
502.306,119449
502.934,119300
502.685,119359
502.673,119362
502.315,119447
502.647,119368
502.243,119464
502.306,119449
502.264,119459
502.306,119449
502.449,119415
502.504,119402
502.673,119362
502.79,119334
502.517,119399
502.93,119301
502.395,119428
502.668,119363
502.222,119469
502.529,119396
502.008,119520
502.273,119457
502.437,119418
502.685,119359
502.656,119366
502.521,119398
502.668,119363
501.974,119528
503.124,119255
502.386,119430
502.269,119458
502.067,119506
501.882,119550
502.959,119294
502.668,119363
502.58,119384
502.79,119334
502.656,119366
502.681,119360
503.389,119192
502.82,119327
502.833,119324
502.913,119305
502.744,119345
502.761,119341
502.736,119347
502.972,119291
502.643,119369
502.82,119327
502.601,119379
501.584,119621
502.618,119375
503.516,119162
502.395,119428
502.487,119406
502.21,119472
502.677,119361
501.865,119554
503.436,119181
502.635,119371
502.513,119400
502.816,119328
502.66,119365
502.626,119373
502.925,119302
502.542,119393
502.336,119442
502.896,119309
502.243,119464
502.399,119427
502.908,119306
502.42,119422
502.382,119431
502.618,119375
502.597,119380
498.625,120331
506.308,118505
502.765,119340
497.162,120685
491.203,122149
480.835,124783
469.517,127791
452.922,132473
433.633,138366
408.513,146874
381.497,157275
350.24,171311
318.149,188591
5737.78,10457
289.771,207060
4950.9,12119
238.406,251672
3890.29,15423
167.018,359242
2356.45,25462

