==============================
Date/Time: 17-11-2021 00-02-28
==============================
RPM:   207.29	Δt (ms): 289.453
RPM:   506.57	Δt (ms): 118.443
RPM:    922.5	Δt (ms): 65.041
RPM:   1185.6	Δt (ms): 50.607
RPM:   1385.6	Δt (ms): 43.303
RPM:     1552	Δt (ms): 38.661
RPM:   1668.6	Δt (ms): 35.958
RPM:   1805.8	Δt (ms): 33.227
RPM:   1920.7	Δt (ms): 31.239
RPM:   2015.7	Δt (ms): 29.766
RPM:   2070.3	Δt (ms): 28.981
RPM:   2082.6	Δt (ms): 28.81
RPM:   2051.6	Δt (ms): 29.245
RPM:   1965.2	Δt (ms): 30.532
RPM:   1842.8	Δt (ms): 32.559
RPM:   1708.5	Δt (ms): 35.119
RPM:   1583.6	Δt (ms): 37.888
RPM:   1459.2	Δt (ms): 41.119
RPM:   1339.3	Δt (ms): 44.798
RPM:   1366.3	Δt (ms): 43.915
RPM:     1351	Δt (ms): 44.413
RPM:   1233.4	Δt (ms): 48.645
RPM:   1113.3	Δt (ms): 53.895
RPM:   998.82	Δt (ms): 60.071
RPM:     1045	Δt (ms): 57.419
RPM:   976.94	Δt (ms): 61.416
RPM:   1002.8	Δt (ms): 59.831
RPM:   1012.1	Δt (ms): 59.281
RPM:   1009.1	Δt (ms): 59.461
RPM:   1004.1	Δt (ms): 59.755
RPM:   1002.8	Δt (ms): 59.835
RPM:   998.32	Δt (ms): 60.101
RPM:   996.12	Δt (ms): 60.234
RPM:   994.35	Δt (ms): 60.341
RPM:   993.66	Δt (ms): 60.383
RPM:    994.5	Δt (ms): 60.332
RPM:   995.69	Δt (ms): 60.26
RPM:   998.97	Δt (ms): 60.062
RPM:   1000.1	Δt (ms): 59.992
RPM:     1002	Δt (ms): 59.879
RPM:   1004.5	Δt (ms): 59.732
RPM:     1005	Δt (ms): 59.704
RPM:   1005.7	Δt (ms): 59.661
RPM:   1003.1	Δt (ms): 59.816
RPM:   1001.8	Δt (ms): 59.89
RPM:   999.18	Δt (ms): 60.049
RPM:    999.1	Δt (ms): 60.054
RPM:   995.69	Δt (ms): 60.26
RPM:   997.17	Δt (ms): 60.17
RPM:   997.62	Δt (ms): 60.143
RPM:   997.03	Δt (ms): 60.179
RPM:   1000.1	Δt (ms): 59.995
RPM:   1000.4	Δt (ms): 59.977
RPM:   1002.4	Δt (ms): 59.858
RPM:     1001	Δt (ms): 59.938
RPM:   1002.9	Δt (ms): 59.826
RPM:   1000.5	Δt (ms): 59.968
RPM:   1002.4	Δt (ms): 59.854
RPM:   1000.1	Δt (ms): 59.992
RPM:   999.33	Δt (ms): 60.04
RPM:   997.19	Δt (ms): 60.169
RPM:   996.89	Δt (ms): 60.187
RPM:   997.39	Δt (ms): 60.157
RPM:   998.02	Δt (ms): 60.119
RPM:   998.05	Δt (ms): 60.117
RPM:   998.45	Δt (ms): 60.093
RPM:   999.77	Δt (ms): 60.014
RPM:   1000.5	Δt (ms): 59.972
RPM:    999.4	Δt (ms): 60.036
RPM:   1004.8	Δt (ms): 59.716
RPM:   1002.9	Δt (ms): 59.828
RPM:   1005.3	Δt (ms): 59.683
RPM:     1003	Δt (ms): 59.823
RPM:     1001	Δt (ms): 59.94
RPM:   1000.6	Δt (ms): 59.964
RPM:   999.08	Δt (ms): 60.055
RPM:   998.75	Δt (ms): 60.075
RPM:    996.3	Δt (ms): 60.223
RPM:   996.73	Δt (ms): 60.197
RPM:    997.9	Δt (ms): 60.126
RPM:   998.22	Δt (ms): 60.107
RPM:   999.82	Δt (ms): 60.011
RPM:   999.98	Δt (ms): 60.001
RPM:   1001.1	Δt (ms): 59.935
RPM:   1002.4	Δt (ms): 59.858
RPM:   1001.3	Δt (ms): 59.923
RPM:   1003.5	Δt (ms): 59.792
RPM:   1001.6	Δt (ms): 59.902
RPM:   1001.1	Δt (ms): 59.934
RPM:   1000.1	Δt (ms): 59.992
RPM:    998.5	Δt (ms): 60.09
RPM:   998.04	Δt (ms): 60.118
RPM:   997.77	Δt (ms): 60.134
RPM:   998.55	Δt (ms): 60.087
RPM:   999.68	Δt (ms): 60.019
RPM:   997.95	Δt (ms): 60.123
RPM:   1001.3	Δt (ms): 59.922
RPM:   1000.5	Δt (ms): 59.968
RPM:   1001.3	Δt (ms): 59.922
RPM:   1001.2	Δt (ms): 59.931
RPM:   1000.1	Δt (ms): 59.992
RPM:   998.72	Δt (ms): 60.077
RPM:   999.93	Δt (ms): 60.004
RPM:   1000.5	Δt (ms): 59.972
RPM:   1001.8	Δt (ms): 59.893
RPM:   1000.3	Δt (ms): 59.983
RPM:   999.32	Δt (ms): 60.041
RPM:   999.38	Δt (ms): 60.037
RPM:   999.42	Δt (ms): 60.035
RPM:   999.55	Δt (ms): 60.027
RPM:   1001.5	Δt (ms): 59.911
RPM:   1000.3	Δt (ms): 59.982
RPM:   1001.7	Δt (ms): 59.898
RPM:   999.03	Δt (ms): 60.058
RPM:   999.28	Δt (ms): 60.043
RPM:   999.43	Δt (ms): 60.034
RPM:   1000.3	Δt (ms): 59.984
RPM:   1001.3	Δt (ms): 59.924
RPM:   1000.3	Δt (ms): 59.984
RPM:   999.37	Δt (ms): 60.038
RPM:   998.25	Δt (ms): 60.105
RPM:   999.95	Δt (ms): 60.003
RPM:   1000.4	Δt (ms): 59.977
RPM:   1001.2	Δt (ms): 59.93
RPM:   1001.4	Δt (ms): 59.916
RPM:   998.87	Δt (ms): 60.068
RPM:   998.19	Δt (ms): 60.109
RPM:   1000.8	Δt (ms): 59.95
RPM:   997.42	Δt (ms): 60.155
RPM:    999.1	Δt (ms): 60.054
RPM:   997.66	Δt (ms): 60.141
RPM:   997.76	Δt (ms): 60.135
RPM:   997.95	Δt (ms): 60.123
RPM:   1000.1	Δt (ms): 59.993
RPM:   1000.6	Δt (ms): 59.966
RPM:   1002.9	Δt (ms): 59.827
RPM:   1002.7	Δt (ms): 59.836
RPM:   1002.6	Δt (ms): 59.846
RPM:   1002.6	Δt (ms): 59.843
RPM:   1001.2	Δt (ms): 59.93
RPM:   999.13	Δt (ms): 60.052
RPM:   999.33	Δt (ms): 60.04
RPM:   997.17	Δt (ms): 60.17
RPM:   998.29	Δt (ms): 60.103
RPM:   998.78	Δt (ms): 60.073
RPM:   999.07	Δt (ms): 60.056
RPM:   999.07	Δt (ms): 60.056
RPM:    999.2	Δt (ms): 60.048
RPM:   1001.2	Δt (ms): 59.928
RPM:   1000.1	Δt (ms): 59.993
RPM:   1000.2	Δt (ms): 59.987
RPM:   1002.2	Δt (ms): 59.868
RPM:   1001.3	Δt (ms): 59.923
RPM:   1001.1	Δt (ms): 59.934
RPM:   1003.2	Δt (ms): 59.811
RPM:   1002.6	Δt (ms): 59.847
RPM:     1001	Δt (ms): 59.94
RPM:   999.08	Δt (ms): 60.055
RPM:   999.37	Δt (ms): 60.038
RPM:   996.63	Δt (ms): 60.203
RPM:   996.43	Δt (ms): 60.215
RPM:   997.11	Δt (ms): 60.174
RPM:   997.27	Δt (ms): 60.164
RPM:   998.34	Δt (ms): 60.1
RPM:   1000.3	Δt (ms): 59.984
RPM:     1001	Δt (ms): 59.941
RPM:   1000.5	Δt (ms): 59.968
RPM:   1001.7	Δt (ms): 59.896
RPM:   1002.4	Δt (ms): 59.857
RPM:   1001.7	Δt (ms): 59.896
RPM:   1000.9	Δt (ms): 59.948
RPM:   996.93	Δt (ms): 60.185
RPM:   994.76	Δt (ms): 60.316
RPM:   987.41	Δt (ms): 60.765
RPM:    980.6	Δt (ms): 61.187
RPM:    970.2	Δt (ms): 61.843
RPM:   960.95	Δt (ms): 62.438
RPM:   950.21	Δt (ms): 63.144
RPM:   935.38	Δt (ms): 64.145
RPM:    922.5	Δt (ms): 65.041
RPM:   907.58	Δt (ms): 66.11
RPM:   891.54	Δt (ms): 67.299
RPM:   872.07	Δt (ms): 68.802
RPM:   854.51	Δt (ms): 70.216
RPM:   830.47	Δt (ms): 72.248
RPM:   810.64	Δt (ms): 74.016
